Date,P,D,E,CPI,Fraction,Rate GS10,Price,Dividend,Earnings,CAPE,,
1871.01,4.44,0.26,0.4,12.46,1871.04,5.32,91.6,5.36,91.6,8.25,8.25,NA
1871.02,4.5,0.26,0.4,12.84,1871.13,5.32,90.09,5.2,90.52,8.01,8.05,NA
1871.03,4.61,0.26,0.4,13.03,1871.21,5.33,90.94,5.13,91.81,7.89,7.97,NA
1871.04,4.74,0.26,0.4,12.56,1871.29,5.33,97.05,5.32,98.42,8.19,8.31,NA
1871.05,4.86,0.26,0.4,12.27,1871.38,5.33,101.82,5.45,103.72,8.38,8.54,NA
1871.06,4.82,0.26,0.4,12.08,1871.46,5.34,102.57,5.53,104.96,8.51,8.71,NA
1871.07,4.73,0.26,0.4,12.08,1871.54,5.34,100.66,5.53,103.47,8.51,8.75,NA
1871.08,4.79,0.26,0.4,11.89,1871.63,5.34,103.56,5.62,106.94,8.65,8.93,NA
1871.09,4.84,0.26,0.4,12.18,1871.71,5.35,102.19,5.49,105.99,8.45,8.76,NA
1871.1,4.59,0.26,0.4,12.37,1871.79,5.35,95.42,5.41,99.44,8.32,8.67,NA
1871.11,4.64,0.26,0.4,12.37,1871.88,5.35,96.46,5.41,100.99,8.32,8.71,NA
1871.12,4.74,0.26,0.4,12.65,1871.96,5.36,96.32,5.28,101.3,8.13,8.55,NA
1872.01,4.86,0.26,0.4,12.65,1872.04,5.36,98.76,5.35,104.34,8.18,8.64,NA
1872.02,4.88,0.27,0.41,12.65,1872.13,5.38,99.16,5.42,105.24,8.23,8.73,NA
1872.03,5.04,0.27,0.41,12.84,1872.21,5.4,100.9,5.41,107.56,8.16,8.7,NA
1872.04,5.18,0.27,0.41,13.13,1872.29,5.42,101.44,5.35,108.62,8.03,8.6,NA
1872.05,5.18,0.28,0.41,13.13,1872.38,5.43,101.44,5.42,109.1,8.08,8.69,NA
1872.06,5.13,0.28,0.42,13.03,1872.46,5.45,101.2,5.52,109.34,8.19,8.84,NA
1872.07,5.1,0.28,0.42,12.84,1872.54,5.47,102.1,5.67,110.82,8.36,9.07,NA
1872.08,5.04,0.29,0.42,12.94,1872.63,5.49,100.15,5.7,109.22,8.35,9.1,NA
1872.09,4.95,0.29,0.42,13.03,1872.71,5.51,97.65,5.72,107.01,8.33,9.13,NA
1872.1,4.97,0.29,0.43,12.75,1872.79,5.53,100.24,5.92,110.39,8.57,9.44,NA
1872.11,4.95,0.3,0.43,13.13,1872.88,5.54,96.94,5.81,107.29,8.37,9.27,NA
1872.12,5.07,0.3,0.43,12.94,1872.96,5.56,100.75,5.96,112.06,8.54,9.5,NA
1873.01,5.11,0.3,0.43,12.94,1873.04,5.58,101.55,6.01,113.5,8.59,9.61,NA
1873.02,5.15,0.31,0.44,13.23,1873.13,5.57,100.13,5.93,112.47,8.46,9.5,NA
1873.03,5.11,0.31,0.44,13.23,1873.21,5.56,99.35,5.98,112.16,8.51,9.6,NA
1873.04,5.04,0.31,0.44,13.23,1873.29,5.55,97.99,6.03,111.19,8.55,9.71,NA
1873.05,5.05,0.31,0.44,12.94,1873.38,5.54,100.35,6.21,114.45,8.79,10.03,NA
1873.06,4.98,0.32,0.45,12.56,1873.46,5.53,101.96,6.45,116.9,9.11,10.45,NA
1873.07,4.97,0.32,0.45,12.56,1873.54,5.53,101.76,6.5,117.29,9.16,10.56,NA
1873.08,4.97,0.32,0.45,12.56,1873.63,5.52,101.76,6.55,117.91,9.21,10.68,NA
1873.09,4.59,0.32,0.45,12.56,1873.71,5.51,93.98,6.6,109.54,9.26,10.8,NA
1873.1,4.19,0.33,0.46,12.27,1873.79,5.5,87.78,6.81,102.98,9.53,11.18,NA
1873.11,4.04,0.33,0.46,11.89,1873.88,5.49,87.35,7.08,103.16,9.89,11.68,NA
1873.12,4.42,0.33,0.46,12.18,1873.96,5.48,93.32,6.97,110.9,9.71,11.54,NA
1874.01,4.66,0.33,0.46,12.37,1874.04,5.47,96.88,6.86,115.81,9.56,11.43,NA
1874.02,4.8,0.33,0.46,12.37,1874.13,5.44,99.79,6.86,119.97,9.56,11.5,NA
