Date,P,D,CPI
1871-01-01,4.44,0.26,12.46406116
1871-02-01,4.5,0.26,12.84464132
1871-03-01,4.61,0.26,13.0349719
1871-04-01,4.74,0.26,12.55922645
1871-05-01,4.86,0.26,12.27381157
1871-06-01,4.82,0.26,12.08348099
1871-07-01,4.73,0.26,12.08348099
1871-08-01,4.79,0.26,11.8932314
1871-09-01,4.84,0.26,12.17864628
1871-01-01,4.59,0.26,12.36889587
1871-11-01,4.64,0.26,12.36889587
1871-12-01,4.74,0.26,12.65439174
1872-01-01,4.86,0.2633,12.65439174
1872-02-01,4.88,0.2667,12.65439174
1872-03-01,5.04,0.27,12.84464132
1872-04-01,5.18,0.2733,13.13013719
1872-05-01,5.18,0.2767,13.13013719
1872-06-01,5.13,0.28,13.0349719
1872-07-01,5.1,0.2833,12.84464132
1872-08-01,5.04,0.2867,12.93980661
1872-09-01,4.95,0.29,13.0349719
1872-01-01,4.97,0.2933,12.74947603
1872-11-01,4.95,0.2967,13.13013719
1872-12-01,5.07,0.3,12.93980661
1873-01-01,5.11,0.3025,12.93980661
1873-02-01,5.15,0.305,13.22522149
1873-03-01,5.11,0.3075,13.22522149
1873-04-01,5.04,0.31,13.22522149
1873-05-01,5.05,0.3125,12.93980661
1873-06-01,4.98,0.315,12.55922645
1873-07-01,4.97,0.3175,12.55922645
1873-08-01,4.97,0.32,12.55922645
1873-09-01,4.59,0.3225,12.55922645
1873-01-01,4.19,0.325,12.27381157
1873-11-01,4.04,0.3275,11.8932314
1873-12-01,4.42,0.33,12.17864628
1874-01-01,4.66,0.33,12.36889587
1874-02-01,4.8,0.33,12.36889587
1874-03-01,4.73,0.33,12.36889587
1874-04-01,4.6,0.33,12.17864628
1874-05-01,4.48,0.33,12.08348099
1874-06-01,4.46,0.33,11.79806612
1874-07-01,4.46,0.33,11.8932314
1874-08-01,4.47,0.33,11.79806612
1874-09-01,4.54,0.33,11.79806612
1874-01-01,4.53,0.33,11.60773554
1874-11-01,4.57,0.33,11.51265124
1874-12-01,4.54,0.33,11.51265124
1875-01-01,4.54,0.3275,11.51265124
1875-02-01,4.53,0.325,11.51265124
1875-03-01,4.59,0.3225,11.51265124
1875-04-01,4.65,0.32,11.60773554
1875-05-01,4.47,0.3175,11.32232066
1875-06-01,4.38,0.315,11.13207107
1875-07-01,4.39,0.3125,11.13207107
1875-08-01,4.41,0.31,11.22715537
1875-09-01,4.37,0.3075,11.13207107
1875-01-01,4.3,0.305,11.13207107
1875-11-01,4.37,0.3025,11.03690579
1875-12-01,4.37,0.3,10.9417405
1876-01-01,4.46,0.3,10.84657521
1876-02-01,4.52,0.3,10.84657521
1876-03-01,4.51,0.3,10.84657521
1876-04-01,4.34,0.3,10.75149091
1876-05-01,4.18,0.3,10.37091074
1876-06-01,4.15,0.3,10.08541488
1876-07-01,4.1,0.3,10.08541488
1876-08-01,3.93,0.3,10.18058017
1876-09-01,3.69,0.3,10.27574545
1876-01-01,3.67,0.3,10.46599504
1876-11-01,3.6,0.3,10.56116033
1876-12-01,3.58,0.3,10.75149091
1877-01-01,3.55,0.2908,10.9417405
1877-02-01,3.34,0.2817,10.65632562
1877-03-01,3.17,0.2725,10.18058017
1877-04-01,2.94,0.2633,10.46599504
1877-05-01,2.94,0.2542,10.65632562
1877-06-01,2.73,0.245,10.08541488
1877-07-01,2.85,0.2358,10.18058017
1877-08-01,3.05,0.2267,9.8
1877-09-01,3.24,0.2175,9.704834711
1877-01-01,3.31,0.2083,9.704834711
1877-11-01,3.26,0.1992,9.514585124
1877-12-01,3.25,0.19,9.514585124
1878-01-01,3.25,0.1892,9.229089256
1878-02-01,3.18,0.1883,9.134004959
1878-03-01,3.24,0.1875,8.94367438
1878-04-01,3.33,0.1867,8.848509091
1878-05-01,3.34,0.1858,8.563094215
1878-06-01,3.41,0.185,8.372844628
1878-07-01,3.48,0.1842,8.467928926
1878-08-01,3.45,0.1833,8.563094215
1878-09-01,3.52,0.1825,8.563094215
1878-01-01,3.48,0.1817,8.467928926
1878-11-01,3.47,0.1808,8.372844628
1878-12-01,3.45,0.18,8.18251405
1879-01-01,3.58,0.1817,8.277679339
1879-02-01,3.71,0.1833,8.372844628
1879-03-01,3.65,0.185,8.277679339
1879-04-01,3.77,0.1867,8.18251405
1879-05-01,3.94,0.1883,8.18251405
1879-06-01,3.96,0.19,8.087381157
1879-07-01,4.04,0.1917,8.18251405
1879-08-01,4.07,0.1933,8.18251405
1879-09-01,4.22,0.195,8.467928926
1879-01-01,4.68,0.1967,8.94367438
1879-11-01,4.93,0.1983,9.419419835
1879-12-01,4.92,0.2,9.704834711
1880-01-01,5.11,0.205,9.990330579
1880-02-01,5.2,0.21,9.990330579
1880-03-01,5.3,0.215,10.08541488
1880-04-01,5.18,0.22,9.704834711
1880-05-01,4.77,0.225,9.419419835
1880-06-01,4.79,0.23,9.229089256
1880-07-01,5.01,0.235,9.229089256
1880-08-01,5.19,0.24,9.229089256
1880-09-01,5.18,0.245,9.324254545
1880-01-01,5.33,0.25,9.324254545
1880-11-01,5.61,0.255,9.419419835
1880-12-01,5.84,0.26,9.514585124
1881-01-01,6.19,0.265,9.419419835
1881-02-01,6.17,0.27,9.514585124
1881-03-01,6.24,0.275,9.514585124
1881-04-01,6.22,0.28,9.609669421
1881-05-01,6.5,0.285,9.514585124
1881-06-01,6.58,0.29,9.514585124
1881-07-01,6.35,0.295,9.609669421
1881-08-01,6.2,0.3,9.8
1881-09-01,6.25,0.305,10.18058017
1881-01-01,6.15,0.31,10.27574545
1881-11-01,6.19,0.315,10.18058017
1881-12-01,6.01,0.32,10.18058017
1882-01-01,5.92,0.32,10.18058017
1882-02-01,5.79,0.32,10.27574545
1882-03-01,5.78,0.32,10.27574545
1882-04-01,5.78,0.32,10.37091074
1882-05-01,5.71,0.32,10.46599504
1882-06-01,5.68,0.32,10.56116033
1882-07-01,6.0,0.32,10.46599504
1882-08-01,6.18,0.32,10.56116033
1882-09-01,6.24,0.32,10.27574545
1882-01-01,6.07,0.32,10.18058017
1882-11-01,5.81,0.32,10.08541488
1882-12-01,5.84,0.32,9.990330579
1883-01-01,5.81,0.3208,9.990330579
1883-02-01,5.68,0.3217,10.08541488
1883-03-01,5.75,0.3225,9.990330579
1883-04-01,5.87,0.3233,9.895165289
1883-05-01,5.77,0.3242,9.8
1883-06-01,5.82,0.325,9.514585124
1883-07-01,5.73,0.3258,9.324254545
